사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
GS25 분당서현 CGV점,경기도 성남시 분당구 서현동 256번지 비전월드 101-18호(일부) ,"경기도 성남시 분당구 서현로180번길 19, 비전월드 1층 101-18(일부)호 (서현동)",37.3872799,127.1223835,편의점
GS25 분당수호,경기도 성남시 분당구 정자동 81-18번지 ,"경기도 성남시 분당구 느티로51번길 14, 1층 일부호 (정자동)",37.3697579,127.1102424,편의점
GS25 분당이매역점,경기도 성남시 분당구 이매동 92-1 매송빌딩 1층 GS25편의점 내 ,"경기도 성남시 분당구 방아로 8, 1층 (이매동, 매송빌딩 GS25편의점 내)",37.3978591783,127.1296371716,편의점
GS25 분당점,경기도 성남시 분당구 이매동 115-3 청산프라자 1층일부 ,"경기도 성남시 분당구 이매로 47 (이매동,청산프라자 1층일부)",37.3949817497,127.1261264724,편의점
GS25 분당중앙점,경기도 성남시 분당구 서현동 94번지 현대근린상가 1층 124호 일부,"경기도 성남시 분당구 중앙공원로40번길 8 (서현동, 현대근린상가 1층 124호 일부)",37.3796402,127.1301507,편의점
GS25 분당포스빌점,경기도 성남시 분당구 구미동 156 포스빌 1층 101호 일부 ,"경기도 성남시 분당구 성남대로 51 (구미동, 포스빌 1층 101호 일부)",37.340506942,127.1080851942,편의점
GS25 정자으뜸점,경기도 성남시 분당구 정자동 44-3번지 1층 일부,"경기도 성남시 분당구 백현로144번길 7-6 (정자동, 1층 일부)",37.3725295,127.1139945,편의점
GS25 판교 예미지점,경기도 성남시 분당구 삼평동 661 판교예미지 1층 일부 ,"경기도 성남시 분당구 판교역로192번길 14-1, 판교예미지 1(일부)층 (삼평동)",37.3974954932,127.1117994258,편의점
GS25(쥐에스25) 분당야탑,경기도 성남시 분당구 야탑동 355-1 1층 104-2호 ,"경기도 성남시 분당구 야탑로75번길 15 (야탑동, 1층 104-2호)",37.4111726792,127.1268257229,편의점
GS25차병원점,경기도 성남시 분당구 야탑동 351번지 차병원내,"경기도 성남시 분당구 야탑로 59 (야탑동,차병원내)",37.4101626,127.1252098,편의점
미니스톱 미금현대점,경기도 성남시 분당구 금곡동 147 현대아리온오피스텔 1층 일부 ,"경기도 성남시 분당구 성남대로172번길 12 (금곡동,현대아리온오피스텔 1층 일부)",37.3509798931,127.1104696178,편의점
미니스톱 분당미금역점,경기도 성남시 분당구 구미동 23-1 분당프라자 102호 일부 ,"경기도 성남시 분당구 돌마로 68 (구미동,분당프라자 102호 일부)",37.3496338389,127.1095620163,편의점
미니스톱 분당수내점,경기도 성남시 분당구 수내동 8-3번지 가나프라자 ,"경기도 성남시 분당구 황새울로258번길 10-7, 가나프라자 101 일부호 (수내동)",37.3800869813,127.1161848283,편의점
미니스톱 분당타운점,경기도 성남시 분당구 분당동 168-1 1층 일부 ,"경기도 성남시 분당구 분당로311번길 6 (분당동,1층 일부)",37.3673579413,127.141814708,편의점
미니스톱 분당판테온점,경기도 성남시 분당구 수내동 21-2 판테온오피스텔 102호 ,"경기도 성남시 분당구 황새울로200번길 9-7, 판테온 1층 102호 (수내동)",37.3777732976,127.1117881496,편의점
미니스톱 야탑엔즈빌점,경기도 성남시 분당구 야탑동 342-3번지 엔즈빌오피스텔 120호,"경기도 성남시 분당구 장미로48번길 14 (야탑동,엔즈빌오피스텔 120호)",37.4125861,127.1254622,편의점
미니스톱 초림한솔점,경기도 성남시 분당구 수내동 16-7 외1필지 한솔인피니티오피스텔104호 ,"경기도 성남시 분당구 황새울로200번길 22 (수내동,외1필지 한솔인피니티오피스텔104호)",37.3763793666,127.112766689,편의점
미니스톱 판교타워점,경기도 성남시 분당구 삼평동 617 판교테크노밸리 브릿지타워 1층 109호,"경기도 성남시 분당구 판교로227번길 6, 1층 109호 (삼평동, 판교테크노밸리 브릿지타워)",37.4030693582,127.0992967673,편의점
미니스톱 한국잡월드점,경기도 성남시 분당구 정자동 4-6 한국잡월드 1층 일부 ,"경기도 성남시 분당구 분당수서로 501, 한국잡월드 1층 일부호 (정자동)",37.3784854065,127.106340222,편의점
미니스톱서현3점,경기도 성남시 분당구 서현동 251-1 야베스밸리 1층 101호 일부 ,"경기도 성남시 분당구 서현로 192 (서현동,야베스밸리 1층 101호 일부)",37.387792366,127.1244225085,편의점
