사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
신세종세탁소,"경기도 성남시 분당구 구미동 187-3번지 {세종그랑시아, 1층, 108호} ","경기도 성남시 분당구 구미로9번길 8 (구미동,{세종그랑시아, 1층, 108호})",37.3386995,127.110627,일반세탁업
신원세탁소,경기도 성남시 분당구 구미동 66번지 까치마을 신원상가 지하1층 108호 ,"경기도 성남시 분당구 미금로 177 (구미동,까치마을 신원상가 지하1층 108호)",37.3492292,127.1141069,일반세탁업
신화세탁소,경기도 성남시 분당구 정자동 192번지 정든마을상가 2층24호 ,"경기도 성남시 분당구 정자로 112 (정자동, 정든마을상가 2층24호)",37.3621733,127.1177382,일반세탁업
싼타크린세탁,경기도 성남시 분당구 야탑동 391번지 아이파크상가동 104호 ,"경기도 성남시 분당구 야탑로 125 (야탑동,아이파크상가동 104호)",37.4101099,127.1324274,일반세탁업
쌍용사,경기도 성남시 분당구 수내동 76번지 푸른마을상가씨동 202호 ,"경기도 성남시 분당구 백현로 227 (수내동,푸른마을상가씨동 202호)",37.3683403,127.1227373,일반세탁업
쎄븐세탁,경기도 성남시 분당구 백현동 556번지 백현마을 상가동 1층 102호 ,"경기도 성남시 분당구 판교역로 98 (백현동,백현마을 상가동 1층 102호)",37.3887427,127.1097162,일반세탁업
아데나세탁소,경기도 성남시 분당구 금곡동 202 (쌍용아데나렉스 1층 11호) ,"경기도 성남시 분당구 정자일로 15 (금곡동,(쌍용아데나렉스 1층 11호))",37.3519710403,127.1049205347,일반세탁업
아이크린워시,경기도 성남시 분당구 야탑동 219-1번지 아델파크빌 지1층 B104-1 ,"경기도 성남시 분당구 장미로 198 (야탑동, 아델파크빌 지1층 B104-1)",37.4123865,127.1429362,일반세탁업
아이파크세탁,경기도 성남시 분당구 정자동 10-1번지 아이파크분당2  201동 107호 일부 ,"경기도 성남시 분당구 정자일로213번길 19 (정자동,아이파크분당2  201동 107호 일부)",37.3706997,127.1048023,일반세탁업
알파돔세탁,경기도 성남시 분당구 백현동 530번지 알파리움 타워2동 B101 일부 ,"경기도 성남시 분당구 판교역로 145 (백현동, 알파리움 타워2동 B101 일부)",37.3937265,127.1083229,일반세탁업
알파돔세탁,경기도 성남시 분당구 판교동 634번지 판교원마을5단지아파트 ,"경기도 성남시 분당구 판교원로 207, 상가동 1층 104호 (판교동, 판교원마을5단지아파트)",37.3874716271,127.0883501782,일반세탁업
양지세탁소,경기도 성남시 분당구 수내동 32번지 양지마을601동상가208호 ,"경기도 성남시 분당구 내정로165번길 38 (수내동,양지마을601동상가208호)",37.3762572,127.1166532,일반세탁업
얼룩빼기이박사삼호두산세탁소,경기도 성남시 분당구 이매동 133번지 아름마을분산상가동 201호 ,"경기도 성남시 분당구 탄천로 95 (이매동,아름마을분산상가동 201호)",37.4007239,127.1214675,일반세탁업
에벤에셀세탁소,경기도 성남시 분당구 이매동 124 이매촌상가동 지층1호 일부 ,"경기도 성남시 분당구 서현로 181 (이매동,이매촌상가동 지층1호 일부)",37.3887411284,127.12515206,일반세탁업
에스케이세탁일번지(SK),경기도 성남시 분당구 백현동 529번지 판교역SK HUB A동 B207호 일부(207-2) ,"경기도 성남시 분당구 판교역로 109 (백현동, 판교역SK HUB A동 B207호 일부(207-2))",37.3910860051,127.10896294,일반세탁업
에이스세탁,"경기도 성남시 분당구 서현동 299번지 번지[효자촌 현대(아)분상상가 1층 102호,103호) ","경기도 성남시 분당구 분당로201번길 17 (서현동,번지[효자촌 현대(아)분상상가 1층 102호,103호))",37.3745919,127.132626,일반세탁업
엘지세탁소,경기도 성남시 분당구 구미동 202번지 엘지상가 104호 ,"경기도 성남시 분당구 구미로 50 (구미동,엘지상가 104호)",37.3367857793,127.1145512483,일반세탁업
영남세탁소,경기도 성남시 분당구 야탑동 156번지 목련마을 ,"경기도 성남시 분당구 판교로 669, 영남상가동 102호 (야탑동, 목련마을)",37.4058582,127.1470466,일반세탁업
옴니세탁,경기도 성남시 분당구 수내동 73번지 푸른마을상가 D동 202호 ,"경기도 성남시 분당구 수내로 206 (수내동,푸른마을상가 D동 202호)",37.3687594,127.126994,일반세탁업
우리세탁소,경기도 성남시 분당구 분당동 34번지 샛별마을상가 102호 ,"경기도 성남시 분당구 분당로 190 (분당동,샛별마을상가 102호)",37.3735585,127.1301066,일반세탁업
우방OK세탁,경기도 성남시 분당구 분당동 38번지 샛별마을분산상가 106 ,"경기도 성남시 분당구 수내로 181 (분당동,샛별마을분산상가 106)",37.3718672,127.1276539,일반세탁업
우성세탁,"경기도 성남시 분당구 정자동 198번지 정든마을상가동(우성) 207호,208호 ","경기도 성남시 분당구 불정로 195 (정자동, 정든마을상가동(우성) 207호,208호)",37.3621961,127.1220164,일반세탁업
우성세탁소,경기도 성남시 분당구 야탑동 383-12번지 (1층) ,"경기도 성남시 분당구 매화로47번길 6-3 (야탑동,(1층))",37.41183,127.1331871,일반세탁업
우성세탁소,경기도 성남시 분당구 서현동 96번지 시범단지우성아파트 ,"경기도 성남시 분당구 중앙공원로 54, 제분산상가 234동 1층 3호 (서현동, 시범단지우성아파트)",37.3801423,127.1324887,일반세탁업
